CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -24.062775          ---           -312.204006       -0.005484        ---         -312.209490          0.10                8.28         
CONF2        -24.062109          ---           -312.202018       -0.004657        ---         -312.206675          1.87                0.42         
CONF3        -24.061941          ---           -312.203419       -0.006164        ---         -312.209583          0.04                9.14         
CONF4        -24.061922          ---           -312.203162       -0.006152        ---         -312.209314          0.21                6.87         
CONF5        -24.060836          ---           -312.204100       -0.005266        ---         -312.209366          0.18                7.26         
CONF6        -24.060421          ---           -312.201098       -0.004724        ---         -312.205822          2.40                0.17         
CONF7        -24.060404          ---           -312.200003       -0.005979        ---         -312.205982          2.30                0.20         
CONF8        -24.060259          ---           -312.203344       -0.006151        ---         -312.209496          0.10                8.33         
CONF9        -24.060251          ---           -312.203451       -0.006142        ---         -312.209592          0.04                9.23         
CONF10       -24.060243          ---           -312.203179       -0.006127        ---         -312.209306          0.22                6.81         
CONF11       -24.060220          ---           -312.202914       -0.006116        ---         -312.209030          0.39                5.08         
CONF12       -24.060185          ---           -312.202569       -0.006050        ---         -312.208619          0.65                3.29         
CONF13       -24.060180          ---           -312.201822       -0.004501        ---         -312.206323          2.09                0.29         
CONF14       -24.060165          ---           -312.201859       -0.004555        ---         -312.206413          2.03                0.32         
CONF15       -24.060124          ---           -312.200346       -0.006067        ---         -312.206413          2.03                0.32         
CONF16       -24.060034          ---           -312.203551       -0.006102        ---         -312.209653          0.00                9.84         
CONF17       -24.059453          ---           -312.198678       -0.005981        ---         -312.204659          3.13                0.05         
CONF18       -24.059443          ---           -312.203393       -0.006002        ---         -312.209395          0.16                7.49         
CONF19       -24.059423          ---           -312.203648       -0.005979        ---         -312.209627          0.02                9.57         
CONF20       -24.059262          ---           -312.200413       -0.005667        ---         -312.206080          2.24                0.22         
CONF21       -24.059158          ---           -312.198891       -0.006083        ---         -312.204973          2.94                0.07         
CONF22       -24.058932          ---           -312.199737       -0.005560        ---         -312.205297          2.73                0.10         
CONF23       -24.058805          ---           -312.201676       -0.004697        ---         -312.206373          2.06                0.30         
CONF24       -24.058731          ---           -312.200998       -0.004612        ---         -312.205610          2.54                0.14         
CONF25       -24.058709          ---           -312.200828       -0.004539        ---         -312.205367          2.69                0.11         
CONF26       -24.058546          ---           -312.200352       -0.006079        ---         -312.206431          2.02                0.32         
CONF27       -24.058437          ---           -312.199922       -0.006167        ---         -312.206089          2.24                0.23         
CONF28       -24.058430          ---           -312.201131       -0.005250        ---         -312.206382          2.05                0.31         
CONF29       -24.058422          ---           -312.200046       -0.005549        ---         -312.205595          2.55                0.13         
CONF30       -24.058368          ---           -312.201158       -0.004976        ---         -312.206134          2.21                0.24         
CONF31       -24.058275          ---           -312.201141       -0.004713        ---         -312.205854          2.38                0.18         
CONF32       -24.058255          ---           -312.200091       -0.006174        ---         -312.206264          2.13                0.27         
CONF33       -24.058219          ---           -312.198558       -0.006224        ---         -312.204782          3.06                0.06         
CONF34       -24.058217          ---           -312.198800       -0.006238        ---         -312.205038          2.90                0.07         
CONF35       -24.058212          ---           -312.201208       -0.004492        ---         -312.205700          2.48                0.15         
CONF36       -24.058200          ---           -312.200725       -0.006033        ---         -312.206759          1.82                0.46         
CONF37       -24.058084          ---           -312.201635       -0.005721        ---         -312.207356          1.44                0.86         
CONF38       -24.057995          ---           -312.200901       -0.006186        ---         -312.207087          1.61                0.65         
CONF39       -24.057932          ---           -312.200077       -0.005989        ---         -312.206066          2.25                0.22         
CONF40       -24.057916          ---           -312.200599       -0.005369        ---         -312.205967          2.31                0.20         
CONF41       -24.057903          ---           -312.199302       -0.005842        ---         -312.205143          2.83                0.08         
CONF42       -24.057501          ---           -312.201469       -0.005619        ---         -312.207089          1.61                0.65         
CONF43       -24.057256          ---           -312.198928       -0.006289        ---         -312.205217          2.78                0.09         
CONF44       -24.057027          ---           -312.199022       -0.006204        ---         -312.205226          2.78                0.09         
CONF45       -24.057003          ---           -312.200742       -0.005863        ---         -312.206605          1.91                0.39         
CONF46       -24.056697          ---           -312.199865       -0.005567        ---         -312.205432          2.65                0.11         
CONF49       -24.056379          ---           -312.198678       -0.006390        ---         -312.205069          2.88                0.08         
CONF50       -24.056370          ---           -312.198340       -0.006294        ---         -312.204635          3.15                0.05         
CONF51       -24.056329          ---           -312.198824       -0.004699        ---         -312.203523          3.85                0.01         
CONF52       -24.056017          ---           -312.198992       -0.006389        ---         -312.205381          2.68                0.11         
CONF53       -24.055936          ---           -312.198635       -0.006499        ---         -312.205134          2.84                0.08         
CONF54       -24.055915          ---           -312.198811       -0.005190        ---         -312.204001          3.55                0.02         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -312.2032264    -312.2091678     <<==part1==
----------------------------------------------------------------------------------------------------

