CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -24.058312          0.00          -311.519618          0.00           -2.800181         -311.524080          0.23               13.27         
CONF2        -24.057782          0.33          -311.518196          0.89           -2.715194         -311.522523          1.20                2.55         
CONF3        -24.057379          0.59          -311.518569          0.66           -2.863007         -311.523132          0.82                4.86         
CONF4        -24.057343          0.61          -311.518218          0.88           -2.872871         -311.522796          1.03                3.41         
CONF5        -24.055737          1.62          -311.519341          0.17           -3.199845         -311.524440          0.00               19.43         
CONF6        -24.056338          1.24          -311.517315          1.44           -2.561964         -311.521398          1.91                0.77         
CONF7        -24.055755          1.60          -311.515137          2.81           -2.917754         -311.519787          2.92                0.14         
CONF8        -24.055221          1.94          -311.518263          0.85           -3.161531         -311.523301          0.71                5.82         
CONF9        -24.055214          1.94          -311.518219          0.88           -3.161121         -311.523257          0.74                5.55         
CONF10       -24.055203          1.95          -311.518138          0.93           -3.162558         -311.523178          0.79                5.10         
CONF11       -24.055182          1.96          -311.518123          0.94           -3.161869         -311.523161          0.80                5.02         
CONF12       -24.055145          1.99          -311.517805          1.14           -3.162429         -311.522844          1.00                3.59         
CONF13       -24.055118          2.00          -311.517697          1.21           -3.176426         -311.522759          1.05                3.28         
CONF14       -24.055110          2.01          -311.517674          1.22           -3.172242         -311.522729          1.07                3.17         
CONF15       -24.055476          1.78          -311.515539          2.56           -2.916729         -311.520187          2.67                0.22         
CONF16       -24.055069          2.04          -311.518313          0.82           -3.115823         -311.523279          0.73                5.68         
CONF17       -24.054764          2.23          -311.514581          3.16           -2.942867         -311.519270          3.24                0.08         
CONF18       -24.055344          1.86          -311.518386          0.77           -2.572645         -311.522486          1.23                2.45         
CONF19       -24.055359          1.85          -311.518694          0.58           -2.550736         -311.522759          1.05                3.28         
CONF20       -24.054269          2.54          -311.515311          2.70           -3.133360         -311.520304          2.60                0.24         
CONF21       -24.054610          2.32          -311.514055          3.49           -2.854076         -311.518603          3.66                0.04         
CONF22       -24.053922          2.75          -311.514656          3.11           -3.143750         -311.519666          3.00                0.12         
CONF23       -24.054308          2.51          -311.517539          1.30           -2.822070         -311.522036          1.51                1.52         
CONF24       -24.053653          2.92          -311.516811          1.76           -3.186625         -311.521890          1.60                1.30         
CONF25       -24.053621          2.94          -311.516734          1.81           -3.193125         -311.521823          1.64                1.22         
CONF26       -24.053529          3.00          -311.515296          2.71           -3.148555         -311.520314          2.59                0.25         
CONF27       -24.053402          3.08          -311.514316          3.33           -3.159220         -311.519350          3.19                0.09         
CONF28       -24.053426          3.07          -311.516422          2.01           -3.139850         -311.521426          1.89                0.80         
CONF29       -24.055005          2.08          -311.516014          2.26           -2.144228         -311.519432          3.14                0.10         
CONF30       -24.053353          3.11          -311.516748          1.80           -3.146811         -311.521763          1.68                1.14         
CONF31       -24.053261          3.17          -311.516986          1.65           -3.145974         -311.521999          1.53                1.47         
CONF32       -24.054520          2.38          -311.515196          2.77           -2.343936         -311.518931          3.46                0.06         
CONF33       -24.053653          2.92          -311.514724          3.07           -2.865365         -311.519290          3.23                0.08         
CONF34       -24.053661          2.92          -311.514812          3.02           -2.859212         -311.519368          3.18                0.09         
CONF35       -24.053203          3.21          -311.517079          1.59           -3.143615         -311.522088          1.48                1.61         
CONF36       -24.053266          3.17          -311.515633          2.50           -3.096255         -311.520567          2.43                0.32         
CONF37       -24.054675          2.28          -311.516487          1.96           -2.139415         -311.519897          2.85                0.16         
CONF38       -24.054886          2.15          -311.516301          2.08           -1.950911         -311.519410          3.16                0.09         
CONF39       -24.052961          3.36          -311.514663          3.11           -3.119291         -311.519634          3.02                0.12         
CONF40       -24.053357          3.11          -311.515642          2.50           -2.860731         -311.520201          2.66                0.22         
CONF41       -24.052940          3.37          -311.514276          3.35           -3.114268         -311.519239          3.26                0.08         
CONF42       -24.053870          2.79          -311.517099          1.58           -2.278170         -311.520730          2.33                0.38         
CONF43       -24.052362          3.73          -311.514347          3.31           -3.071079         -311.519241          3.26                0.08         
CONF44       -24.052244          3.81          -311.513437          3.88           -3.001774         -311.518220          3.90                0.03         
CONF45       -24.053566          2.98          -311.515676          2.47           -2.156340         -311.519113          3.34                0.07         
CONF46       -24.052520          3.63          -311.515384          2.66           -2.621179         -311.519562          3.06                0.11         
CONF49       -24.051420          4.32          -311.514359          3.30           -3.111401         -311.519317          3.21                0.09         
CONF50       -24.052839          3.43          -311.514755          3.05           -2.215622         -311.518286          3.86                0.03         
CONF51       -24.051341          4.37          -311.514583          3.16           -3.129985         -311.519571          3.06                0.11         
CONF52       -24.051196          4.47          -311.514575          3.16           -3.025412         -311.519396          3.16                0.09         
CONF53       -24.051093          4.53          -311.514463          3.23           -3.039099         -311.519306          3.22                0.08         
CONF54       -24.051451          4.31          -311.514642          3.12           -2.800846         -311.519105          3.35                0.07         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -311.2933491    -311.2981686     <<==part0==
----------------------------------------------------------------------------------------------------
