CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -23.951188          0.00          -346.246118          0.03           -3.046267         -346.250973          0.14                5.14         
CONF2        -23.951186          0.00          -346.246172          0.00           -3.042746         -346.251021          0.11                5.40         
CONF3        -23.951178          0.01          -346.246140          0.02           -3.033205         -346.250973          0.14                5.14         
CONF4        -23.951173          0.01          -346.246136          0.02           -3.024849         -346.250956          0.15                5.05         
CONF5        -23.950386          0.50          -346.243895          1.43           -3.510636         -346.249490          1.07                1.07         
CONF6        -23.951169          0.01          -346.246089          0.05           -3.015879         -346.250896          0.19                4.73         
CONF7        -23.951038          0.09          -346.244383          1.12           -3.090445         -346.249308          1.18                0.88         
CONF8        -23.951033          0.10          -346.244392          1.12           -3.089977         -346.249316          1.18                0.89         
CONF9        -23.951005          0.11          -346.244375          1.13           -3.096911         -346.249311          1.18                0.88         
CONF10       -23.951019          0.11          -346.244409          1.11           -3.094506         -346.249340          1.16                0.91         
CONF11       -23.951011          0.11          -346.244431          1.09           -3.091296         -346.249357          1.15                0.93         
CONF12       -23.950899          0.18          -346.244259          1.20           -3.149606         -346.249279          1.20                0.85         
CONF13       -23.951130          0.04          -346.245685          0.31           -3.003206         -346.250471          0.45                3.02         
CONF14       -23.950883          0.19          -346.244283          1.19           -3.157438         -346.249315          1.18                0.89         
CONF15       -23.950886          0.19          -346.244250          1.21           -3.156754         -346.249281          1.20                0.86         
CONF16       -23.950873          0.20          -346.244308          1.17           -3.161431         -346.249346          1.16                0.92         
CONF17       -23.950959          0.14          -346.244368          1.13           -3.106007         -346.249317          1.18                0.89         
CONF18       -23.950926          0.16          -346.244243          1.21           -3.124527         -346.249222          1.24                0.80         
CONF19       -23.950969          0.14          -346.244518          1.04           -3.083159         -346.249432          1.10                1.00         
CONF20       -23.950810          0.24          -346.244334          1.15           -3.182249         -346.249405          1.12                0.98         
CONF21       -23.950927          0.16          -346.244278          1.19           -3.106027         -346.249228          1.23                0.81         
CONF22       -23.950968          0.14          -346.244646          0.96           -3.064807         -346.249530          1.04                1.11         
CONF23       -23.950786          0.25          -346.244365          1.13           -3.174333         -346.249423          1.11                0.99         
CONF24       -23.950774          0.26          -346.244463          1.07           -3.178827         -346.249529          1.04                1.11         
CONF25       -23.950691          0.31          -346.244331          1.15           -3.221405         -346.249465          1.08                1.04         
CONF26       -23.951063          0.08          -346.245331          0.53           -2.994595         -346.250103          0.68                2.04         
CONF27       -23.950625          0.35          -346.244377          1.13           -3.259514         -346.249571          1.02                1.16         
CONF28       -23.950516          0.42          -346.244230          1.22           -3.326949         -346.249532          1.04                1.12         
CONF29       -23.950543          0.40          -346.244313          1.17           -3.309953         -346.249588          1.01                1.18         
CONF30       -23.950987          0.13          -346.244954          0.76           -3.029583         -346.249782          0.88                1.45         
CONF31       -23.951010          0.11          -346.245128          0.66           -3.014349         -346.249932          0.79                1.70         
CONF32       -23.950927          0.16          -346.244480          1.06           -3.062712         -346.249360          1.15                0.93         
CONF33       -23.950962          0.14          -346.244980          0.75           -3.032509         -346.249812          0.87                1.50         
CONF34       -23.950929          0.16          -346.244660          0.95           -3.048046         -346.249517          1.05                1.10         
CONF35       -23.950342          0.53          -346.245950          0.14           -3.289412         -346.251192          0.00                6.47         
CONF36       -23.949656          0.96          -346.242853          2.08           -3.714510         -346.248772          1.52                0.50         
CONF37       -23.949603          0.99          -346.243510          1.67           -3.740252         -346.249471          1.08                1.05         
CONF38       -23.949629          0.98          -346.242886          2.06           -3.719222         -346.248813          1.49                0.52         
CONF39       -23.950325          0.54          -346.245692          0.30           -3.278522         -346.250917          0.17                4.84         
CONF40       -23.950306          0.55          -346.245504          0.42           -3.289237         -346.250746          0.28                4.04         
CONF41       -23.950340          0.53          -346.244970          0.75           -3.255876         -346.250158          0.65                2.17         
CONF42       -23.950153          0.65          -346.243436          1.72           -3.360620         -346.248791          1.51                0.51         
CONF43       -23.950125          0.67          -346.243341          1.78           -3.372677         -346.248716          1.55                0.47         
CONF44       -23.950094          0.69          -346.244004          1.36           -3.388914         -346.249404          1.12                0.98         
CONF45       -23.950096          0.68          -346.244067          1.32           -3.384375         -346.249461          1.09                1.04         
CONF46       -23.950078          0.70          -346.243840          1.46           -3.395848         -346.249252          1.22                0.83         
CONF47       -23.950089          0.69          -346.243413          1.73           -3.386794         -346.248810          1.49                0.52         
CONF48       -23.950090          0.69          -346.243878          1.44           -3.386203         -346.249275          1.20                0.85         
CONF49       -23.950070          0.70          -346.243751          1.52           -3.397719         -346.249166          1.27                0.76         
CONF50       -23.950087          0.69          -346.244062          1.32           -3.379441         -346.249447          1.09                1.02         
CONF51       -23.950115          0.67          -346.243442          1.71           -3.343269         -346.248770          1.52                0.50         
CONF52       -23.950082          0.69          -346.243772          1.51           -3.362000         -346.249130          1.29                0.73         
CONF53       -23.950087          0.69          -346.243476          1.69           -3.378200         -346.248860          1.46                0.55         
CONF54       -23.950099          0.68          -346.243500          1.68           -3.349459         -346.248838          1.48                0.54         
CONF55       -23.950084          0.69          -346.243605          1.61           -3.356648         -346.248954          1.40                0.61         
CONF56       -23.950125          0.67          -346.243400          1.74           -3.329048         -346.248705          1.56                0.47         
CONF57       -23.950014          0.74          -346.244138          1.28           -3.396837         -346.249551          1.03                1.14         
CONF58       -23.949890          0.81          -346.244180          1.25           -3.449929         -346.249678          0.95                1.30         
CONF59       -23.949837          0.85          -346.244122          1.29           -3.478722         -346.249665          0.96                1.29         
CONF60       -23.949688          0.94          -346.243291          1.81           -3.558603         -346.248962          1.40                0.61         
