CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -23.956042          ---           -346.937902       -0.005018        ---         -346.942921          0.50                5.44         
CONF2        -23.956035          ---           -346.937936       -0.005025        ---         -346.942961          0.47                5.67         
CONF3        -23.956012          ---           -346.937850       -0.004982        ---         -346.942832          0.55                4.95         
CONF4        -23.955993          ---           -346.937728       -0.004945        ---         -346.942673          0.65                4.18         
CONF5        -23.955980          ---           -346.935655       -0.005598        ---         -346.941253          1.54                0.93         
CONF6        -23.955975          ---           -346.937638       -0.004913        ---         -346.942551          0.73                3.68         
CONF7        -23.955963          ---           -346.936199       -0.005121        ---         -346.941320          1.50                1.00         
CONF8        -23.955957          ---           -346.936187       -0.005121        ---         -346.941309          1.51                0.99         
CONF9        -23.955940          ---           -346.936113       -0.005116        ---         -346.941229          1.56                0.91         
CONF10       -23.955951          ---           -346.936146       -0.005120        ---         -346.941267          1.53                0.94         
CONF11       -23.955937          ---           -346.936149       -0.005115        ---         -346.941264          1.54                0.94         
CONF12       -23.955918          ---           -346.936025       -0.005077        ---         -346.941102          1.64                0.79         
CONF13       -23.955916          ---           -346.937227       -0.004845        ---         -346.942072          1.03                2.21         
CONF14       -23.955915          ---           -346.935990       -0.005077        ---         -346.941067          1.66                0.76         
CONF15       -23.955917          ---           -346.935996       -0.005077        ---         -346.941073          1.66                0.77         
CONF16       -23.955911          ---           -346.935976       -0.005072        ---         -346.941048          1.67                0.75         
CONF17       -23.955908          ---           -346.936145       -0.005079        ---         -346.941224          1.56                0.90         
CONF18       -23.955905          ---           -346.936091       -0.005079        ---         -346.941169          1.60                0.85         
CONF19       -23.955882          ---           -346.936121       -0.005061        ---         -346.941182          1.59                0.86         
CONF20       -23.955882          ---           -346.935905       -0.005056        ---         -346.940961          1.73                0.68         
CONF21       -23.955877          ---           -346.936117       -0.005088        ---         -346.941205          1.57                0.88         
CONF22       -23.955852          ---           -346.936196       -0.005028        ---         -346.941224          1.56                0.90         
CONF23       -23.955845          ---           -346.935974       -0.005087        ---         -346.941062          1.66                0.76         
CONF24       -23.955840          ---           -346.936020       -0.005107        ---         -346.941127          1.62                0.81         
CONF25       -23.955824          ---           -346.935919       -0.005123        ---         -346.941042          1.68                0.74         
CONF26       -23.955835          ---           -346.936778       -0.004834        ---         -346.941612          1.32                1.36         
CONF27       -23.955819          ---           -346.935798       -0.005097        ---         -346.940895          1.77                0.64         
CONF28       -23.955818          ---           -346.935792       -0.005305        ---         -346.941097          1.64                0.79         
CONF29       -23.955818          ---           -346.935793       -0.005203        ---         -346.940996          1.70                0.71         
CONF30       -23.955815          ---           -346.936393       -0.004946        ---         -346.941339          1.49                1.02         
CONF31       -23.955814          ---           -346.936537       -0.004912        ---         -346.941449          1.42                1.14         
CONF32       -23.955808          ---           -346.936175       -0.005017        ---         -346.941193          1.58                0.87         
CONF33       -23.955795          ---           -346.936374       -0.004929        ---         -346.941303          1.51                0.98         
CONF34       -23.955787          ---           -346.936240       -0.004998        ---         -346.941238          1.55                0.92         
