CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -22.694983          ---           -344.723196       -0.022159        ---         -344.745355          0.90                2.07         
CONF2        -22.694960          ---           -344.726543       -0.018718        ---         -344.745260          0.96                1.87         
CONF3        -22.694944          ---           -344.722713       -0.020837        ---         -344.743549          2.03                0.31         
CONF4        -22.694673          ---           -344.728277       -0.018152        ---         -344.746428          0.22                6.46         
CONF5        -22.694390          ---           -344.728011       -0.017433        ---         -344.745444          0.84                2.28         
CONF6        -22.694345          ---           -344.726503       -0.019515        ---         -344.746018          0.48                4.18         
CONF7        -22.694334          ---           -344.723845       -0.019827        ---         -344.743672          1.95                0.35         
CONF8        -22.694307          ---           -344.723032       -0.020167        ---         -344.743200          2.25                0.21         
CONF9        -22.694262          ---           -344.723978       -0.020845        ---         -344.744823          1.23                1.18         
CONF10       -22.694175          ---           -344.724103       -0.019888        ---         -344.743991          1.75                0.49         
CONF11       -22.694137          ---           -344.723744       -0.020288        ---         -344.744032          1.73                0.51         
CONF12       -22.694072          ---           -344.729813       -0.016142        ---         -344.745955          0.52                3.91         
CONF13       -22.693974          ---           -344.721836       -0.020390        ---         -344.742226          2.86                0.08         
CONF14       -22.693916          ---           -344.725523       -0.021261        ---         -344.746784          0.00                9.41         
CONF15       -22.693920          ---           -344.722563       -0.019768        ---         -344.742330          2.79                0.08         
CONF16       -22.693908          ---           -344.723329       -0.021794        ---         -344.745122          1.04                1.62         
CONF17       -22.693874          ---           -344.725212       -0.020398        ---         -344.745610          0.74                2.71         
CONF18       -22.693828          ---           -344.726492       -0.018879        ---         -344.745371          0.89                2.11         
CONF19       -22.693744          ---           -344.726268       -0.019794        ---         -344.746062          0.45                4.38         
CONF20       -22.693742          ---           -344.726285       -0.019808        ---         -344.746093          0.43                4.53         
CONF21       -22.693703          ---           -344.722868       -0.021582        ---         -344.744450          1.46                0.79         
CONF23       -22.693562          ---           -344.723809       -0.018992        ---         -344.742801          2.50                0.14         
CONF24       -22.693500          ---           -344.726324       -0.019792        ---         -344.746116          0.42                4.64         
