CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -24.056616          0.00          -311.518852          0.21           -2.520532         -311.522868          0.49                7.12         
CONF2        -24.056416          0.13          -311.519179          0.00           -2.177865         -311.522649          0.63                5.64         
CONF3        -24.055950          0.42          -311.518070          0.70           -2.309534         -311.521750          1.20                2.18         
CONF4        -24.055624          0.62          -311.518494          0.43           -2.298721         -311.522158          0.94                3.35         
CONF5        -24.055618          0.63          -311.518652          0.33           -2.296426         -311.522311          0.84                3.95         
CONF6        -24.055615          0.63          -311.518200          0.61           -2.292420         -311.521853          1.13                2.43         
CONF7        -24.055633          0.62          -311.518161          0.64           -2.205272         -311.521676          1.24                2.01         
CONF8        -24.054236          1.49          -311.518815          0.23           -3.037858         -311.523656          0.00               16.40         
CONF9        -24.054661          1.23          -311.515123          2.55           -2.655769         -311.519355          2.70                0.17         
CONF10       -24.054050          1.61          -311.518542          0.40           -3.005648         -311.523332          0.20               11.63         
CONF11       -24.053580          1.91          -311.518347          0.52           -3.069185         -311.523238          0.26               10.53         
CONF12       -24.054248          1.49          -311.517755          0.89           -2.598906         -311.521896          1.10                2.54         
CONF13       -24.054363          1.41          -311.518882          0.19           -2.508918         -311.522880          0.49                7.21         
CONF14       -24.054112          1.57          -311.517822          0.85           -2.576298         -311.521927          1.08                2.63         
CONF15       -24.054113          1.57          -311.518319          0.54           -2.559114         -311.522397          0.79                4.32         
CONF16       -24.053942          1.68          -311.518553          0.39           -2.462049         -311.522477          0.74                4.70         
CONF17       -24.053634          1.87          -311.518510          0.42           -2.579614         -311.522621          0.65                5.48         
CONF18       -24.052399          2.65          -311.514571          2.89           -3.178667         -311.519637          2.52                0.23         
CONF19       -24.053227          2.13          -311.517916          0.79           -2.479519         -311.521867          1.12                2.46         
CONF20       -24.052941          2.31          -311.514300          3.06           -2.493084         -311.518273          3.38                0.05         
CONF21       -24.052243          2.74          -311.514918          2.67           -2.924537         -311.519579          2.56                0.22         
CONF22       -24.053034          2.25          -311.513832          3.36           -2.259817         -311.517433          3.91                0.02         
CONF23       -24.051553          3.18          -311.513602          3.50           -3.134798         -311.518597          3.17                0.08         
CONF24       -24.052595          2.52          -311.514906          2.68           -2.469732         -311.518842          3.02                0.10         
CONF26       -24.051446          3.24          -311.515346          2.40           -3.036983         -311.520186          2.18                0.42         
CONF28       -24.051273          3.35          -311.515269          2.45           -2.998683         -311.520048          2.26                0.36         
CONF29       -24.052596          2.52          -311.514569          2.89           -1.877668         -311.517561          3.82                0.03         
CONF30       -24.050310          3.96          -311.513448          3.60           -3.071687         -311.518343          3.33                0.06         
CONF31       -24.051070          3.48          -311.513739          3.41           -2.585771         -311.517860          3.64                0.04         
CONF32       -24.050334          3.94          -311.514283          3.07           -2.927751         -311.518949          2.95                0.11         
CONF35       -24.049869          4.23          -311.515215          2.49           -2.919175         -311.519867          2.38                0.30         
CONF36       -24.049874          4.23          -311.515156          2.52           -2.910140         -311.519794          2.42                0.27         
CONF37       -24.049867          4.23          -311.515054          2.59           -2.896566         -311.519670          2.50                0.24         
CONF38       -24.049864          4.24          -311.514929          2.67           -2.884205         -311.519525          2.59                0.21         
CONF39       -24.049851          4.24          -311.514761          2.77           -2.877760         -311.519347          2.70                0.17         
CONF41       -24.049542          4.44          -311.514929          2.67           -2.927713         -311.519595          2.55                0.22         
CONF42       -24.049552          4.43          -311.515048          2.59           -2.919286         -311.519700          2.48                0.25         
CONF43       -24.049520          4.45          -311.514814          2.74           -2.938725         -311.519497          2.61                0.20         
CONF44       -24.049562          4.43          -311.515168          2.52           -2.909916         -311.519805          2.42                0.28         
CONF45       -24.049577          4.42          -311.515267          2.45           -2.897817         -311.519885          2.37                0.30         
CONF46       -24.049606          4.40          -311.515269          2.45           -2.872558         -311.519847          2.39                0.29         
CONF47       -24.049604          4.40          -311.515240          2.47           -2.867485         -311.519810          2.41                0.28         
CONF48       -24.049607          4.40          -311.515212          2.49           -2.858633         -311.519767          2.44                0.27         
CONF50       -24.050702          3.71          -311.514636          2.85           -1.898011         -311.517660          3.76                0.03         
CONF51       -24.049638          4.38          -311.514521          2.92           -2.398275         -311.518343          3.33                0.06         
CONF52       -24.049559          4.43          -311.514308          3.06           -2.410140         -311.518149          3.46                0.05         
CONF53       -24.049549          4.43          -311.514245          3.10           -2.410597         -311.518086          3.50                0.04         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -311.2943948    -311.2986799     <<==part0==
----------------------------------------------------------------------------------------------------
